Timestamp,Gender,Have you ever done an online purchase?,Have you done an online purchase during last 6 months?,"If yes, how many different items have you purchased within those 6 months?",Choose the type of the product you have purchased most frequently.,What type of vendors you mainly purchase from?,Select the international e-commerce platform you mostly use for purchases.,Select the local e-commerce platform you mostly use for purchases.,"Have you directly purchased from the vendor's online ordering site, without going through a well-known e-commerce platform like above?",What device you normally use when doing online purchases?,What is the most common way you get to know about online purchasing sites?,What is the maximum amount you prefer to pay for an online purchase in LKR?,Rate your overall satisfaction about online purchases in a 1-5 scale (considering your past experience). 1 is not satisfied at all. 5 is extremely satisfied.
2018/06/12 3:05:43 PM GMT+5:30,Female,Yes,Yes,5,Health and Beauty Products,Both,ebay,ClicknShop,Yes,Both,Facebook,5000 - 10000,4
2018/06/12 3:05:47 PM GMT+5:30,Male,Yes,Yes,2,Electronic Devices/Computer Equipments,Both,ebay,takas.lk,No,Laptops,I search online when I get a requirement,5000 - 10000,4
2018/06/12 3:06:28 PM GMT+5:30,Male,Yes,Yes,40,Electronic Devices/Computer Equipments,Foreign,ebay,None,No,Both,Facebook,5000 - 10000,4
2018/06/12 3:06:36 PM GMT+5:30,Male,Yes,No,,Electronic Devices/Computer Equipments,Foreign,ebay,kapruka.com,No,Both,Facebook,10000 - 30000,4
2018/06/12 3:07:12 PM GMT+5:30,Male,Yes,Yes,1,"Wearables (dresses, watches, shoes etc.)",Foreign,ebay,MyStore.lk,No,Both,Facebook,5000 - 10000,4
2018/06/12 3:07:12 PM GMT+5:30,Male,Yes,Yes,5,Electronic Devices/Computer Equipments,Foreign,ebay,kapruka.com,No,Laptops,I search online when I get a requirement,1000 - 5000,4
2018/06/12 3:07:40 PM GMT+5:30,Male,Yes,Yes,more than 10 time,Electronic Devices/Computer Equipments,Both,Kapruka,laabai.lk,Yes,Laptops,I search online when I get a requirement,30000 - 50000,4
2018/06/12 3:07:45 PM GMT+5:30,Male,Yes,Yes,4,Electronic Devices/Computer Equipments,Foreign,ebay,MyDeal.lk,Yes,Laptops,Word of Mouth of friends,5000 - 10000,4
2018/06/12 3:07:54 PM GMT+5:30,Male,Yes,Yes,4,Electronic Devices/Computer Equipments,Both,ebay,MyStore.lk,No,Laptops,I search online when I get a requirement,30000 - 50000,4
2018/06/12 3:07:58 PM GMT+5:30,Female,Yes,Yes,One item,"Wearables (dresses, watches, shoes etc.)",Foreign,ebay,None,No,Mobile Devices,I search online when I get a requirement,1000 - 5000,4
2018/06/12 3:08:41 PM GMT+5:30,Male,Yes,Yes,1,Electronic Devices/Computer Equipments,Both,ebay,MyStore.lk,Yes,Laptops,I search online when I get a requirement,10000 - 30000,4
2018/06/12 3:08:43 PM GMT+5:30,Female,Yes,Yes,10,"Wearables (dresses, watches, shoes etc.)",Both,ebay,mydeal.lk,Yes,Both,I search online when I get a requirement,1000 - 5000,4
2018/06/12 3:09:25 PM GMT+5:30,Female,Yes,Yes,2,Guitar,Both,ebay,wow.lk,Yes,Laptops,Word of Mouth of friends,10000 - 30000,4
2018/06/12 3:09:38 PM GMT+5:30,Male,Yes,Yes,3,"Wearables (dresses, watches, shoes etc.)",Both,AliExpress,MyDeal.lk,Yes,Both,Word of Mouth of friends,5000 - 10000,4
2018/06/12 3:10:31 PM GMT+5:30,Male,Yes,Yes,4,"Air Tickets, Movie Tickets, Online courses ",Both,Amazon,FindMyFare.com,Yes,Both,Facebook,More than 50000,3
2018/06/12 3:14:29 PM GMT+5:30,Male,Yes,Yes,5,"Wearables (dresses, watches, shoes etc.);Bags, Jewellery or any other fashion accessories;Sports Equipments;Health and Beauty Products",Foreign,ebay,None,No,Laptops,I search online when I get a requirement,10000 - 30000,5
